"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",39.3,2.37215999999999,25.7,1.452948,297.5,27.442926,2.3775,0.14826,0.815,0.14826,3.895,0.59304,19.8,2.683506,0.1,0,0.185,0.044478,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","2565045","robust",38.8,0.39592843455036,25.8,0.298441921378944,290.72,3.40998000000002,2,0.29652,0.85,0.14826,3.5,0.128003192462717,15.105,0.207564000000001,0.1925,0,0.055,0.051891,0.22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tom Brady","TB","QB","2504211","robust",38.9,3.602718,25.4,2.07564,283.5,25.50072,1.9,0.029652,0.7325,0.14826,1.44,0.185325,2.3,1.03782,0.0525,0.059304,0.18125,0.0555975,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Matthew Stafford","LAR","QB","79860","robust",35,0.889560000000002,24.1,0.593040000000003,281.65,5.9304,2.15,0.14826,0.725,0.0889560000000001,2.2,0.029652,5.7,1.33434,0.1,0,0.09875,0.0037065,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Derek Carr","LVR","QB","2543499","robust",36.2557888488009,0.469358094464335,24.5910157532185,0.756126000000002,286.5025,5.33736000000003,1.9675,0.192738,0.85,0.14826,2,0.164959352905435,7.275,0.44478,0.0925,0,0.2375,0.0555975,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Josh Allen","BUF","QB","2560955","robust",36.31,0.504083999999995,23.725,0.889560000000002,280.1,13.19514,2.425,0.29652,0.9,0.0741300000000001,7.68,0.59304,41.175,3.40998,0.4,0,0.165,0.00741300000000001,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Russell Wilson","DEN","QB","2532975","robust",32.775,1.63086,21.7671780040546,2.2239,262.2,10.67472,1.925,0.14826,0.45,0.103782,3.6,0.133434,16.625,3.943716,0.11,0.029652,0.0875,0.0185325,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kirk Cousins","MIN","QB","2532820","robust",36.535,1.4826,24.45,0.593039999999998,267.23,9.78516000000003,1.955,0,0.6925,0.0741300000000001,1.98232673714407,0.44478,5.72,0.652344000000001,0.0325,0,0.1375,0.0555975,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Joe Burrow","CIN","QB","2563722","robust",33.6907023419719,0.773034584415183,22.4821607458042,0.652344000000002,270.3825,7.81330199999997,1.81,0.14826,0.925,0.14826,2.95,0.14826,13.6,3.85476,0.1,0,0.1375,0.0555975,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Carson Wentz","WAS","QB","2555259","robust",33.5144328358519,2.13830751026413,21.5645242620821,0.935448658074042,248.945,9.50346600000004,1.725,0.14826,0.725,0.22239,3.5,0.96789248623524,13.4725,3.958542,0.1,0.044478,0.165,0.051891,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
