"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Tua Tagovailoa","MIA","QB","14778","robust",34.495,0.756126000000002,23.4584764953793,0.489258,292.59,4.95188399999996,2.0525,0.0741300000000004,0.87,0.14826,2.2367653396504,0.37065,5.885,0.733887000000001,0.0475,0.059304,0.205625,0.00555975,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Brock Purdy","SF","QB","15698","robust",32.1,0.696821999999998,21.7,0.444780000000001,269.85,19.214496,1.8,0.29652,0.6,0.14826,3.05,0.22239,12.0525,3.565653,0.1075,0.022239,0.109375,0.00926625,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","14779","robust",36.33,2.134944,24.295,1.349166,261.5,12.6021,1.7,0.37065,0.8,0.29652,4.98926509345519,1.46668442755667,19.45,2.2239,0.15,0.07413,0.086875,0.01297275,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","C.J. Stroud","HOU","QB","16150","robust",35.1,1.11195,22.75,0.518909999999999,277.75,9.93341999999998,1.8,0.207564,0.7,0.29652,2.885,0.14826,12.65,0.889559999999999,0.15,0.037065,0.225,0.0185325,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Dak Prescott","DAL","QB","12620","robust",35.3675,0.644931000000003,24.1,0.743200781054048,273.675,11.630997,2.035,0.0741300000000004,0.7225,0.214977,3.42447215750728,0.406932420720288,14.09,1.586382,0.1,0.126021,0.1,0,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Patrick Mahomes","KC","QB","13116","robust",37.0242518465384,0.557084212322095,24.6467863904452,1.26021,263.1925,5.9304,1.895,0.155673,0.8,0.103782,5,0,26.7,0.7413,0.1,0,0.10375,0.0037065,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Sam Howell","WAS","QB","15693","robust",37.0646089914382,1.88602879070634,24.55,0.978516,261.995,16.45686,1.35,0.252042,1.065,0.0963689999999999,3.42793748130007,0.287809780449022,17.275,2.2239,0.12,0.029652,0.14,0.029652,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jared Goff","DET","QB","12611","robust",35.85,0.222389999999998,23.4,0.930354379122052,259.7,10.140984,1.61,0.200151,0.8,0.111195,1.975,0.259455,5.025,2.59455,0.09,0.007413,0.225,0.0185325,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Geno Smith","SEA","QB","11150","robust",32.8155403829235,1.92738,21.3967427915843,0.926625,233.3,7.85778,1.175,0.14826,0.91,0.118608,2.65,0.51891,10.9,0.7413,0.05,0.07413,0.175625,0.02409225,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Trevor Lawrence","JAC","QB","15237","robust",35,0.593039999999998,22.9,0.859508050270308,256.7,7.11648,1.305,0.207564,0.8325,0.163086,4.25,0.365535386699639,20.9,1.163841,0.2,0.07413,0.2875,0.06486375,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Derek Carr","NO","QB","11644","robust",34.4457505150571,1.11195,22.4639627082622,0.839206888730501,248.5825,2.56489799999998,1.25,0.37065,0.8,0.088956,1.66091182087528,0.21968626874063,5.3,0.7413,0.035,0,0.135,0.0259455,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Jake Browning","CIN","QB","14358","robust",31,4.180932,20.1975,2.505594,226.3,13.387878,1.14,0.29652,1,0,3.255,0.622692,13,1.512252,0.05,0.044478,0.11875,0.0259455,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Baker Mayfield","TB","QB","13590","robust",31.1,0.919211999999999,20.3425,1.060059,218.615,8.8956,1.485,0.192738,0.8175,0.0370649999999999,3.75,0.333583396427153,13.005,1.497426,0.0525,0.07413,0.1375,0.02779875,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Gardner Minshew","IND","QB","14067","robust",32.698110716485,1.0322178965213,21.075,0.133434,232,4.59605999999999,1.125,0.22239,0.8275,0.051891,2.7651173429474,0.399954054692374,8.725,2.29803,0.1,0.059304,0.27,0.051891,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Jalen Hurts","PHI","QB","14783","robust",31.4409244919413,1.860663,20.8875755583295,1.11195,233.405,5.885922,1.315,0.103782,0.8625,0.111195,9.575,0.963689999999999,41.1925,6.35294099999999,0.7075,0.281694,0.2275,0.02038575,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Jordan Love","GB","QB","14782","robust",33.2429840667904,1.75831635484688,20.3333989618225,0.655009601595995,227.18,8.65838400000003,1.37,0.207564,0.925,0.0741300000000001,3.68027298394276,0.474432,17.04,1.363992,0.1,0,0.059375,0.00926625,0.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Bryce Young","CAR","QB","16148","robust",33.1,2.48192393333954,20.8539266219706,0.896972999999998,215.35,9.6369,1,0,0.8,0.207564,3.03367693109724,0.246590581955235,13,0,0.1,0,0.19625,0.0037065,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
