"","player","team","position","id","avg_type","pass_att","pass_att_sd","pass_comp","pass_comp_sd","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_att","rush_att_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","injury_status","injury_details","season_year","week"
"1","Kirk Cousins","MIN","QB","10700","robust",38.0725,1.03782,25.872914250129,1.33434,287.4,9.48864000000001,2,0.051891,0.8175,0.14826,1.47,0.415128,5.365,0.637518,0.05,0.044478,0.2625,0.04633125,0.13,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Justin Herbert","LAC","QB","14779","robust",38.175,2.44629,26.1,1.33434,283.1,19.12554,2.015,0.029652,0.705,0.237216,3.3,0.279781323681561,13.0875,2.2239,0.145,0.07413,0.086875,0.01297275,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tua Tagovailoa","MIA","QB","14778","robust",36,0,24,0.229802999999999,289.93,5.1891,1.945,0.0741300000000001,0.9375,0.0741300000000001,2.68,0.355824,7.9975,1.905141,0.05,0.00741300000000001,0.1775,0.022239,0.06,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Patrick Mahomes","KC","QB","13116","robust",36.585,1.77912,24.333774165681,0.837668999999999,280.375,9.6369,2,0.170499,0.8,0.22239,4.69705889947699,0.453500951270823,25.025,1.40847,0.1125,0.037065,0.113125,0.01297275,0.17,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Joe Burrow","CIN","QB","14777","robust",36.625,0.859907999999997,24.3625,0.889559999999999,274.65,3.7065,1.875,0.14826,0.8,0.140847,2.52464285714286,1.045233,9.75,2.9652,0.1,0.037065,0.086875,0.01297275,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Matthew Stafford","LAR","QB","9431","robust",35.5,0.531315743773334,23.7016034540914,0.375404562071741,265.7,11.645823,1.375,0.274281,0.855,0.133434,2,0,6.84,1.008168,0.0825,0.014826,0.1425,0.03150525,0.09,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Jared Goff","DET","QB","12611","robust",35,1.171254,23.125,0.518909999999999,255.25,3.965955,1.535,0.14826,0.76,0.229803,2,0.14826,5.775,3.209829,0.09,0.00741300000000001,0.18125,0.0185325,0.14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Josh Allen","BUF","QB","13589","robust",37.1810312603772,0.714705893270432,24.7249620288292,0.904385999999999,264.11,2.93554799999998,2.05,0.14826,0.945,0.0741300000000001,6,0.244629,33.2,0.296519999999999,0.35,0.059304,0.185,0.014826,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Dak Prescott","DAL","QB","12620","robust",32.94,0.889560000000002,21.685,0.7413,237.335,13.832658,1.6,0.140847,0.8725,0.0741300000000001,3.4,0.437367,14.225,1.074885,0.1,0,0.1275,0.00741300000000001,0.16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Geno Smith","SEA","QB","11150","robust",34.525,0.667169999999999,23.31,0.459606000000001,257.32,4.166106,1.705,0.0889559999999999,0.7,0.14826,3.2325,0.526323,15.8,1.77912,0.1,0.029652,0.15,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Sam Howell","WAS","QB","15693","robust",32.2602748538286,1.53449100000001,20.5209084162306,1.77912,227.735,14.425698,1.1575,0.14826,0.95,0.0741300000000001,3.195,0.701508387109425,14.11,1.660512,0.1,0.051891,0.1625,0.02779875,0.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","C.J. Stroud","HOU","QB","16150","robust",34.9441398022247,0.963690000000003,21.7142437322289,0.423662242597431,247.385,6.6717,1.255,0.22239,0.82,0.192738,3.1,0.14826,13.605,0.985929,0.1,0.007413,0.21875,0.0185325,0.08,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Andy Dalton","CAR","QB","10313","robust",12.6,12.0156073391542,8,7.44262509953733,72,57.717618,0.4,0.29652,0.25,0.259455,1.05,0.88956,2.5,1.40847,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Russell Wilson","DEN","QB","10703","robust",33.935,1.18608,21.5291316129407,0.667169999999999,255,2.81694000000001,1.75,0.192738,0.7075,0.14826,3.6,0.474432,18.245,1.289862,0.135,0.059304,0.13,0.022239,0.03,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Jimmy Garoppolo","LVR","QB","11760","robust",17,NA,11.0175,NA,174.26125,18.8623785,0.9875,NA,0.555,NA,1.5125,NA,5.56625,0.1000755,0.0410256000060227,0.0608245545689292,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","Concussion",2023,4
"16","Trevor Lawrence","JAC","QB","15237","robust",36.45,1.089711,23.65,0.518909999999999,250.15,6.18985500000002,1.665,0.14826,0.805,0.0815430000000001,4.5,0.419008776004944,20,0.392889000000001,0.1775,0.022239,0.2875,0.06486375,0.19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Gardner Minshew","IND","QB","14067","robust",1.4,NA,0.9,NA,69.6,61.94797,0.2,0.17297,0.3,0.27181,0.4,0.32123,1.7,1.45789,0,0,0.05,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Jordan Love","GB","QB","14782","robust",32.9456172461983,2.00151,20.025,1.31779277251919,244.195,3.639783,1.7,0.14826,0.8775,0.14826,3.8775,0.214977,16.2775,2.305443,0.13,0.044478,0.0925,0.00555975,0.11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
