#,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
1,Josh Allen,QB,BUF,28.2,34.5,32.2,25.4,18.3,16.1,16.4,13.5,36,28.9,BYE,16.5,30.1,19.3,37.7,32.3,20.3,25.3,405.6,2
2,Kyler Murray,QB,ARI,27.3,33.1,24.7,23.1,27.3,28.9,38.1,BYE,37.9,30.9,20.3,8.9,17.4,18.5,34.1,16.4,3.8,24.4,390.7,3
3,Aaron Rodgers,QB,NYJ,30.8,18.7,24.5,29.6,-,5.8,27.3,22.5,28.9,26.4,22.7,25.6,23.5,30.9,18.3,26.1,26,24.2,387.8,4
4,Patrick Mahomes II,QB,KC,20.4,27.5,40,20.2,30.7,20.6,12,36.6,31.5,BYE,22.5,31.3,19.3,21.6,25.9,20.2,-,25.4,380.4,5
5,Deshaun Watson,QB,CLE,21.8,15.7,18.1,20.9,26.9,32,24.2,-,24.2,14.1,31.4,33.1,20.4,16.6,23.4,26.8,26.8,23.5,376.3,6
6,Russell Wilson,QB,DEN,31.8,34.4,36.8,21.9,25.5,-,32.9,28.7,24.1,11.9,20.1,14.4,16,23.1,13,19.9,18.1,23.3,372.8,7
7,Ryan Tannehill,QB,TEN,19.4,26.8,13.2,BYE,30,29.6,17.3,18.3,14.6,10.8,22.9,19.1,28.6,16.5,37,18.3,28.4,21.9,350.9,8
8,Tom Brady,QB,FA,22.5,9.7,23.9,33.5,14.1,14.6,36.9,19.1,5.4,31.8,14.6,23.7,-,15.6,23.4,29.9,31.3,21.9,349.9,9
9,Justin Herbert,QB,LAC,-,23.2,15.7,24,27.4,BYE,38.5,23.2,23.4,21.5,27.7,17.4,6.4,16.7,28,16.7,33,22.9,342.8,10
10,Lamar Jackson,QB,BAL,27.5,17.6,14.2,26,14.5,28.2,BYE,16.8,18.6,22.5,17.5,-,26.7,34.9,30.2,21.3,25.2,22.8,341.8,11
11,Alvin Kamara,RB,NO,21.2,33.9,38.2,19.4,15.9,BYE,18.8,20.8,13.4,31.3,10.5,5.7,16.7,18.9,16.9,54.7,-,22.4,336.3,12
